"ID";"CIDADE TITULO";"Tipo";"Data";"UF";"Cidade/Região";"Quantidade de municípios";"Realizada";"Relatório";"Participantes Soc. Civil";"Participantes Poder Público";"Participantes Conselhos";"Participantes convidados";"Participantes Observadores";"Total Participantes";"Proposta Eixo 1";"Propostas Eixo 2";"Propostas Eixo 3";"Propostas Eixo 4";"Total de propostas";"Delegados Sociedade Civil";"Delegados Poder Público";"Delegados Conselhos";"Total de delegados"
612;"Barroso";"Municipal";11/01/12;"MG";"Barroso";1;"SIM";"FINALIZADO";34;12;9;13;10;78;5;3;5;7;20;1;1;1;3
613;"Brumadinho";"Municipal";11/01/12;"MG";"Brumadinho";1;"SIM";"FINALIZADO";50;46;13;3;1;113;3;6;4;3;16;1;1;1;3
614;"Nazarezinho";"Municipal";11/01/12;"PB";"Nazarezinho";1;"SIM";"FINALIZADO";46;41;7;1;0;95;5;5;5;5;20;1;1;1;3
615;"Quatis";"Municipal";11/01/12;"RJ";"Quatis";1;"SIM";"FINALIZADO";16;60;2;5;2;85;5;5;5;5;20;1;1;1;3
616;"Uruoca";"Municipal";11/01/12;"CE";"Uruoca";1;"SIM";"FINALIZADO";21;15;2;11;3;52;7;5;5;1;18;6;4;0;10
617;"Catunda";"Municipal";12/01/12;"CE";"Catunda";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
618;"Aratuba";"Municipal";12/01/12;"CE";"Aratuba";1;"SIM";"FINALIZADO";9;64;5;2;4;84;5;5;5;5;20;8;6;2;16
619;"Bonfim ";"Livre";12/01/12;"RR";"Bonfim - EE Argentina Castelo";0;"SIM";"FINALIZADO";16;5;4;0;0;25;0;4;1;5;10;0;0;0;0
620;"Jaguaruana";"Municipal";12/01/12;"CE";"Jaguaruana";1;"SIM";"FINALIZADO";19;34;18;4;1;76;4;5;6;4;19;6;3;1;10
621;"Leandro Ferreira";"Municipal";12/01/12;"MG";"Leandro Ferreira";1;"SIM";"FINALIZADO";23;21;17;25;9;95;6;3;5;6;20;2;2;2;6
622;"Milhã";"Municipal";12/01/12;"CE";"Milhã";1;"SIM";"FINALIZADO";45;22;6;13;8;94;2;2;2;2;8;2;4;2;8
623;"Pará de Minas ";"Municipal";12/01/12;"MG";"Pará de Minas ";1;"SIM";"FINALIZADO";32;78;25;5;4;144;5;5;5;5;20;6;3;2;11
624;"Pindoretama";"Municipal";12/01/12;"CE";"Pindoretama";1;"SIM";"FINALIZADO";24;16;5;6;1;52;5;5;5;5;20;6;3;2;11
625;"Potiretama";"Municipal";12/01/12;"CE";"Potiretama";1;"SIM";"FINALIZADO";42;5;10;4;6;67;1;1;1;1;4;3;1;4;8
626;"Quixelô";"Municipal";12/01/12;"CE";"Quixelô";1;"SIM";"FINALIZADO";15;55;2;0;0;72;5;5;5;5;20;7;5;1;13
627;"Barbalha";"Municipal";13/01/12;"CE";"Barbalha";1;"SIM";"FINALIZADO";211;96;46;20;10;383;5;6;2;7;20;12;6;2;20
628;"Carrapateira ";"Municipal";13/01/12;"PB";"Carrapateira ";1;"SIM";"FINALIZADO";32;17;8;11;0;68;8;4;4;4;20;1;0;0;1
629;"Jardim";"Municipal";13/01/12;"CE";"Jardim";1;"SIM";"FINALIZADO";53;25;7;0;2;87;1;1;1;1;4;6;3;1;10
630;"Martinópole";"Municipal";13/01/12;"CE";"Martinópole";1;"SIM";"FINALIZADO";27;13;1;0;0;41;3;7;5;5;20;6;3;1;10
631;"Salinas da Margarida";"Municipal";13/01/12;"BA";"Salinas da Margarida";1;"SIM";"FINALIZADO";14;14;5;5;1;39;3;3;3;3;12;4;2;1;7
632;"Santana do São Francisco";"Municipal";13/01/12;"SE";"Santana do São Francisco";1;"SIM";"FINALIZADO";47;22;29;18;5;121;7;5;4;4;20;7;2;1;10
633;"Teresina";"Regional";13/01/12;"PI";"Teresina, Altos, Beneditinos, Buriti dos Montes, Castelo do Piauí, Coivaras, Miguel Alves";7;"SIM";"FINALIZADO";203;120;40;25;0;388;5;2;7;6;20;88;33;16;137
634;"Umabúba";"Municipal";13/01/12;"SE";"Umabúba";1;"SIM";"FINALIZADO";80;40;40;10;5;175;4;6;5;5;20;8;4;3;15
635;"Vigia ";"Municipal";13/01/12;"PA";"Vigia ";1;"SIM";"FINALIZADO";57;15;9;3;3;87;5;10;3;2;20;6;0;0;6
636;"Crateús";"Municipal";14/01/12;"CE";"Crateús";1;"SIM";"FINALIZADO";23;80;5;1;0;109;4;5;5;2;16;6;6;2;14
637;"Itatiaia ";"Municipal";14/01/12;"RJ";"Itatiaia ";1;"SIM";"FINALIZADO";118;23;16;1;1;159;3;4;4;9;20;2;1;1;4
638;"Barreirinhas";"Livre";16/01/12;"MA";"Barreirinhas";0;"SIM";"FINALIZADO";100;0;0;0;0;100;0;0;1;1;2;0;0;0;0
639;"Iracema";"Municipal";16/01/12;"RR";"Iracema";1;"SIM";"FINALIZADO";18;8;2;1;0;29;5;5;5;5;20;4;2;1;7
640;"Antonina do Norte";"Municipal";17/01/12;"CE";"Antonina do Norte";1;"SIM";"FINALIZADO";24;14;3;5;4;50;4;4;4;4;16;5;1;4;10
641;"Baixio";"Municipal";17/01/12;"CE";"Baixio";1;"SIM";"FINALIZADO";4;28;3;2;2;39;5;5;4;4;18;2;6;2;10
642;"Barra de Santo Antônio";"Regional";17/01/12;"AL";"Barra de Santo Antônio, Campestre, Jacuípe, Japaratinga, Jundiá, Maragogi, Matriz de Camaragibe, Passo de Camaragibe, Porto Calvo, Porto de Pedras, São Luís do Quitunde";11;"SIM";"FINALIZADO";46;29;9;10;0;94;5;6;4;4;19;11;4;2;17
643;"Caririaçu";"Municipal";17/01/12;"CE";"Caririaçu";1;"SIM";"FINALIZADO";42;60;12;12;6;132;5;5;5;5;20;6;3;1;10
644;"Cariús";"Municipal";17/01/12;"CE";"Cariús";1;"SIM";"FINALIZADO";9;24;12;2;2;49;5;5;5;5;20;7;5;2;14
645;"Joca Claudino ";"Municipal";17/01/12;"PB";"Joca Claudino ";1;"SIM";"FINALIZADO";22;18;16;4;2;62;3;6;4;7;20;1;0;0;1
646;"Luz";"Municipal";17/01/12;"MG";"Luz";1;"SIM";"FINALIZADO";20;20;8;6;6;60;5;5;2;4;16;1;1;0;2
647;"Monsenhor Tabosa";"Municipal";17/01/12;"CE";"Monsenhor Tabosa";1;"SIM";"FINALIZADO";16;45;1;2;2;66;6;3;5;6;20;6;3;1;10
648;"Palmares ";"Municipal";17/01/12;"PE";"Palmares ";1;"SIM";"FINALIZADO";30;12;5;5;4;56;6;3;3;5;17;12;3;3;18
649;"Umirim";"Municipal";17/01/12;"CE";"Umirim";1;"SIM";"FINALIZADO";61;41;11;0;0;113;4;6;5;5;20;6;3;1;10
650;"Aquiraz";"Municipal";18/01/12;"CE";"Aquiraz";1;"SIM";"FINALIZADO";59;43;15;8;2;127;4;4;4;6;18;12;6;2;20
651;"Bossoroca";"Regional";18/01/12;"RS";"Bossoroca, Caibaté, Cerro Largo, Dezesseis de Novembro, Entre-Ijuís, Eugênio de Castro, Garruchos, Giruá, Guarani das Missões, Mato Queimado, Pirapó, Porto Xavier, Rolador, Roque Gonzales, Salvador das Missões, Santo Antônio das Missões, São Borja, São Luiz Gonzaga, São Miguel das Missões, São Nicolau, São Paulo das Missões, São Pedro do Butiá, Sete de Setembro, Ubiretama, Vitória das Missões";25;"SIM";"FINALIZADO";50;20;20;10;0;100;5;1;1;0;7;1;4;0;5
652;"Laranjal do Jari";"Municipal";18/01/12;"AP";"Laranjal do Jari";1;"SIM";"FINALIZADO";36;15;12;3;2;68;5;5;5;5;20;20;10;1;31
653;"Pirambu ";"Municipal";18/01/12;"SE";"Pirambu ";1;"SIM";"FINALIZADO";23;21;8;0;3;55;3;8;3;6;20;7;1;2;10
654;"Rosário do Sul";"Municipal";18/01/12;"RS";"Rosário do Sul";1;"SIM";"FINALIZADO";30;4;3;0;0;37;4;3;5;7;19;10;3;2;15
655;"Pacatuba";"Municipal";19/01/12;"CE";"Pacatuba";1;"SIM";"NÃO RELATADA";;;;;;0;;;;;0;;;;0
656;"Alfredo Chaves";"Regional";19/01/12;"ES";"Alfredo Chaves, Anchieta, Iconha, Itapemirim, Marataízes, Piúma ";6;"SIM";"FINALIZADO";15;30;7;5;0;57;5;5;5;5;20;4;7;1;12
657;"Catarina";"Municipal";19/01/12;"CE";"Catarina";1;"SIM";"FINALIZADO";56;21;10;3;0;90;3;4;4;4;15;12;6;2;20
658;"Choró";"Municipal";19/01/12;"CE";"Choró";1;"SIM";"FINALIZADO";60;30;6;10;8;114;6;6;4;4;20;6;3;1;10
659;"Deputado Irapuan Pinheiro";"Municipal";19/01/12;"CE";"Deputado Irapuan Pinheiro";1;"SIM";"FINALIZADO";30;22;11;10;3;76;4;5;4;4;17;6;3;1;10
660;"Frecheirinha";"Municipal";19/01/12;"CE";"Frecheirinha";1;"SIM";"FINALIZADO";30;12;23;1;0;66;5;5;5;5;20;6;3;1;10
661;"Icapuí";"Municipal";19/01/12;"CE";"Icapuí";1;"SIM";"FINALIZADO";60;30;10;10;5;115;5;5;5;4;19;6;3;1;10
662;"Itagimirim ";"Municipal";19/01/12;"BA";"Itagimirim ";1;"SIM";"FINALIZADO";29;91;37;112;30;299;1;2;2;3;8;1;2;1;4
663;"Itarema";"Municipal";19/01/12;"CE";"Itarema";1;"SIM";"FINALIZADO";63;31;10;0;0;104;4;4;6;6;20;6;3;1;10
664;"Jaguaribe";"Municipal";19/01/12;"CE";"Jaguaribe";1;"SIM";"FINALIZADO";26;15;4;15;13;73;5;5;5;4;19;6;3;1;10
665;"Salgado";"Municipal";19/01/12;"SE";"Salgado";1;"SIM";"FINALIZADO";105;18;4;8;0;135;4;7;5;4;20;7;0;2;9
666;"Sorocaba";"Municipal";19/01/12;"SP";"Sorocaba";1;"SIM";"FINALIZADO";93;38;32;15;5;183;4;5;4;7;20;5;3;1;9
667;"Tomé-Açu ";"Municipal";19/01/12;"PA";"Tomé-Açu ";1;"SIM";"FINALIZADO";79;0;0;0;0;79;5;3;6;6;20;7;0;0;7
668;"Balneário Pinhal ";"Municipal";20/01/12;"RS";"Balneário Pinhal ";1;"SIM";"FINALIZADO";31;14;3;1;1;50;1;2;1;1;5;1;1;1;3
669;"Bragança";"Regional";20/01/12;"PA";"Bragança, Capanema ";2;"SIM";"FINALIZADO";47;89;3;14;5;158;5;5;5;5;20;1;0;0;1
670;"Breu Branco";"Regional";20/01/12;"PA";"Breu Branco, Goianésia do Pará, Jacundá, Tucuruí ";4;"SIM";"FINALIZADO";34;59;34;11;0;138;5;4;5;5;19;11;7;3;21
671;"Canindé";"Municipal";20/01/12;"CE";"Canindé";1;"SIM";"FINALIZADO";31;22;6;22;5;86;5;5;5;5;20;12;6;2;20
672;"Caridade";"Municipal";20/01/12;"CE";"Caridade";1;"SIM";"FINALIZADO";20;19;8;15;6;68;4;3;3;2;12;5;3;1;9
673;"Chorozinho";"Municipal";20/01/12;"CE";"Chorozinho";1;"SIM";"FINALIZADO";64;41;15;0;0;120;5;5;5;5;20;6;3;1;10
674;"Independência";"Municipal";20/01/12;"CE";"Independência";1;"SIM";"FINALIZADO";17;30;7;0;0;54;5;5;5;5;20;6;3;1;10
675;"Ipaporanga";"Municipal";20/01/12;"CE";"Ipaporanga";1;"SIM";"FINALIZADO";6;11;6;1;1;25;5;4;5;6;20;3;2;1;6
676;"Macapá";"Livre";20/01/12;"AP";"Macapá";0;"SIM";"FINALIZADO";35;3;5;0;0;43;10;0;0;0;10;0;0;0;0
677;"Mucajaí ";"Municipal";20/01/12;"RR";"Mucajaí ";1;"SIM";"FINALIZADO";57;9;3;0;0;69;6;2;8;4;20;7;2;1;10
678;"Neópolis";"Municipal";20/01/12;"SE";"Neópolis";1;"SIM";"FINALIZADO";48;48;34;0;6;136;3;6;6;5;20;14;2;3;19
679;"Piranhas ";"Municipal";20/01/12;"AL";"Piranhas ";1;"SIM";"FINALIZADO";90;45;15;4;2;156;4;3;7;6;20;6;3;1;10
680;"Santana do Livramento";"Municipal";20/01/12;"RS";"Santana do Livramento";1;"SIM";"FINALIZADO";48;25;12;5;5;95;3;3;3;3;12;3;1;1;5
681;"São Cristóvão";"Municipal";20/01/12;"SE";"São Cristóvão";1;"SIM";"FINALIZADO";19;67;14;4;10;114;5;5;7;3;20;7;4;3;14
682;"Sobral";"Municipal";21/01/12;"CE";"Sobral";1;"SIM";"FINALIZADO";84;71;44;1;1;201;4;4;6;6;20;12;6;2;20
683;"Alto Alegre ";"Municipal";23/01/12;"RR";"Alto Alegre ";1;"SIM";"FINALIZADO";29;32;21;10;11;103;3;8;4;5;20;6;4;2;12
684;"Baturité";"Municipal";23/01/12;"CE";"Baturité";1;"SIM";"FINALIZADO";26;34;14;2;0;76;5;5;5;5;20;6;3;1;10
685;"Camaçari ";"Municipal";23/01/12;"BA";"Camaçari ";1;"SIM";"FINALIZADO";105;19;13;21;0;158;3;4;6;7;20;12;6;2;20
686;"Crato";"Municipal";23/01/12;"CE";"Crato";1;"SIM";"FINALIZADO";79;11;6;30;0;126;6;4;5;5;20;7;4;2;13
687;"Guaranésia ";"Municipal";23/01/12;"MG";"Guaranésia ";1;"SIM";"FINALIZADO";11;3;3;22;91;130;9;6;2;2;19;1;1;1;3
688;"Quissamã ";"Municipal";23/01/12;"RJ";"Quissamã ";1;"SIM";"FINALIZADO";149;55;10;1;46;261;4;4;5;7;20;2;1;1;4
689;"Rorainópolis";"Municipal";23/01/12;"RR";"Rorainópolis";1;"SIM";"FINALIZADO";48;17;5;0;0;70;5;5;4;6;20;5;4;2;11
690;"Tururu";"Municipal";23/01/12;"CE";"Tururu";1;"SIM";"FINALIZADO";22;36;12;29;5;104;5;5;3;6;19;5;3;1;9
691;"Ararendá";"Municipal";24/01/12;"CE";"Ararendá";1;"SIM";"FINALIZADO";45;25;10;2;0;82;5;5;5;5;20;8;3;0;11
692;"Campo Alegre ";"Municipal";24/01/12;"AL";"Campo Alegre ";1;"SIM";"FINALIZADO";60;30;10;17;12;129;7;3;7;3;20;11;6;1;18
693;"Campo Magro";"Municipal";24/01/12;"SP";"Campo Magro, Cerro Azul, Colombo, Curitiba, Doutor Ulysses, Itaperuçu, Pinhais, Piraquara, Quatro Barras, Rio";1;"SIM";"FINALIZADO";48;24;8;4;16;100;7;3;5;4;19;3;1;1;5
694;"Castanhal";"Municipal";24/01/12;"PA";"Castanhal";1;"SIM";"FINALIZADO";32;27;13;10;3;85;2;2;3;3;10;15;6;2;23
695;"Santa Maria da Vitória";"Municipal";24/01/12;"BA";"Santa Maria da Vitória";1;"SIM";"FINALIZADO";69;46;8;4;1;128;2;1;1;1;5;6;4;2;12
696;"São Domingos do Norte";"Regional";24/01/12;"ES";"São Domingos do Norte, São Gabriel da Palha, Vila Valério";3;"SIM";"FINALIZADO";73;30;26;8;15;152;5;5;5;5;20;3;4;1;8
697;"São João da Baliza";"Municipal";25/01/12;"RR";"São João da Baliza";1;"SIM";"FINALIZADO";48;26;12;0;0;86;4;6;3;7;20;2;1;0;3
698;"Aguaí ";"Municipal";25/01/12;"SP";"Aguaí ";1;"SIM";"FINALIZADO";35;12;12;10;0;69;4;3;3;2;12;3;1;1;5
699;"Cantagalo ";"Municipal";25/01/12;"RJ";"Cantagalo ";1;"SIM";"FINALIZADO";29;18;15;1;0;63;5;4;3;4;16;2;1;1;4
700;"Colatina";"Regional";25/01/12;"ES";"Colatina, Governador Lindenberg, Itaguaçu, Itarana, Jaguaré, Marilândia, Montanha, Pancas, Santa Maria de Jetibá, Santa Teresa ";10;"SIM";"FINALIZADO";43;28;8;20;2;101;5;5;5;5;20;0;1;0;1
701;"Engenheiro Paulo de Frontin";"Municipal";25/01/12;"RJ";"Engenheiro Paulo de Frontin";1;"SIM";"FINALIZADO";11;59;11;1;1;83;7;5;4;4;20;2;2;2;6
702;"Guapimirim ";"Municipal";25/01/12;"RJ";"Guapimirim ";1;"SIM";"FINALIZADO";55;53;5;15;0;128;4;4;6;6;20;3;1;1;5
703;"Ibaretama";"Municipal";25/01/12;"CE";"Ibaretama";1;"SIM";"FINALIZADO";18;58;5;7;2;90;5;5;5;5;20;2;2;2;6
704;"Ibicuitinga";"Municipal";25/01/12;"CE";"Ibicuitinga";1;"SIM";"FINALIZADO";11;70;7;0;0;88;2;2;2;2;8;4;4;4;12
705;"Itapagé ";"Municipal";25/01/12;"CE";"Itapagé ";1;"SIM";"FINALIZADO";27;30;14;0;0;71;4;8;3;5;20;6;3;1;10
706;"Jucás";"Municipal";25/01/12;"CE";"Jucás";1;"SIM";"FINALIZADO";56;30;35;1;1;123;1;1;1;2;5;1;0;0;1
707;"Lagoa da Canoa ";"Municipal";25/01/12;"AL";"Lagoa da Canoa ";1;"SIM";"FINALIZADO";58;19;8;23;41;149;5;5;5;5;20;4;3;1;8
708;"Lavras da Mangabeira";"Municipal";25/01/12;"CE";"Lavras da Mangabeira";1;"SIM";"FINALIZADO";56;29;9;6;2;102;4;3;2;3;12;4;4;2;10
709;"Marco";"Municipal";25/01/12;"CE";"Marco";1;"SIM";"FINALIZADO";51;36;8;1;0;96;6;6;3;5;20;7;3;2;12
710;"Parisi";"Municipal";25/01/12;"SP";"Parisi";1;"SIM";"FINALIZADO";9;5;8;12;12;46;2;1;1;2;6;3;1;2;6
711;"Quixeramobim";"Municipal";25/01/12;"CE";"Quixeramobim";1;"SIM";"FINALIZADO";25;62;21;12;120;240;3;4;3;3;13;9;6;2;17
712;"Raposos";"Municipal";25/01/12;"MG";"Raposos";1;"SIM";"FINALIZADO";6;5;2;0;0;13;1;1;1;1;4;1;1;1;3
713;"Santa Isabel do Pará ";"Municipal";25/01/12;"PA";"Santa Isabel do Pará ";1;"SIM";"FINALIZADO";122;27;13;15;39;216;7;2;2;4;15;5;2;1;8
714;"Santa Leopoldina";"Municipal";25/01/12;"ES";"Santa Leopoldina";1;"SIM";"FINALIZADO";36;25;6;10;1;78;3;4;5;5;17;0;2;0;2
715;"Santa Rita";"Municipal";25/01/12;"PB";"Santa Rita";1;"SIM";"FINALIZADO";38;67;9;5;3;122;5;4;5;6;20;5;3;1;9
716;"São José do Egito";"Municipal";25/01/12;"PE";"São José do Egito";5;"SIM";"FINALIZADO";23;43;10;0;0;76;4;5;5;5;19;6;2;1;9
717;"São Luiz ";"Municipal";25/01/12;"RR";"São Luiz ";1;"SIM";"FINALIZADO";12;5;2;2;0;21;3;5;6;6;20;4;2;1;7
718;"Taquari";"Municipal";25/01/12;"RS";"Taquari";1;"SIM";"FINALIZADO";1;15;3;0;1;20;2;2;4;3;11;0;4;2;6
719;"Americana";"Municipal";26/01/12;"SP";"Americana";1;"SIM";"FINALIZADO";16;9;3;2;2;32;1;1;1;1;4;5;4;1;10
720;"Abaetetuba";"Municipal";26/01/12;"PA";"Abaetetuba";1;"SIM";"FINALIZADO";45;51;7;3;0;106;4;4;4;8;20;11;6;2;19
721;"Afogados da Ingazeira";"Regional";26/01/12;"PE";"Afogados da Ingazeira, Carnaíba, Iguaraci, Ingazeira, Quixaba, Solidão, Tabira";7;"SIM";"FINALIZADO";10;17;12;1;0;40;5;3;5;5;18;7;3;2;12
722;"Água Preta";"Municipal";26/01/12;"PE";"Água Preta";1;"SIM";"FINALIZADO";26;15;13;5;4;63;5;5;5;5;20;6;3;1;10
723;"Barra dos Coqueiros";"Municipal";26/01/12;"SE";"Barra dos Coqueiros";1;"SIM";"FINALIZADO";58;46;5;10;3;122;5;7;3;5;20;7;3;1;11
724;"Campinas";"Regional";26/01/12;"SP";"Campinas, Idaiatuba";2;"SIM";"FINALIZADO";80;58;27;5;19;189;5;5;4;6;20;20;11;8;39
725;"Candiba ";"Municipal";26/01/12;"BA";"Candiba ";1;"SIM";"FINALIZADO";79;20;17;16;26;158;5;5;3;3;16;1;1;1;3
726;"Cerro Branco";"Municipal";26/01/12;"RS";"Cerro Branco";1;"SIM";"FINALIZADO";3;14;4;0;0;21;1;1;7;1;10;1;1;1;3
727;"Eusébio";"Municipal";26/01/12;"CE";"Eusébio";1;"SIM";"FINALIZADO";69;23;21;0;0;113;5;5;5;5;20;6;3;1;10
728;"Itatira";"Municipal";26/01/12;"CE";"Itatira";1;"SIM";"FINALIZADO";59;43;6;2;0;110;3;4;5;4;16;6;4;2;12
729;"Iuiú";"Municipal";26/01/12;"BA";"Iuiú";1;"SIM";"FINALIZADO";25;21;20;7;2;75;3;5;3;4;15;0;0;1;1
730;"Jaguaretama";"Municipal";26/01/12;"CE";"Jaguaretama";1;"SIM";"FINALIZADO";63;27;6;6;4;106;4;5;4;4;17;6;3;1;10
731;"Januária ";"Municipal";26/01/12;"MG";"Januária ";1;"SIM";"FINALIZADO";23;32;12;24;7;98;5;5;5;5;20;3;2;1;6
732;"Laranja da Terra";"Municipal";26/01/12;"ES";"Laranja da Terra";1;"SIM";"FINALIZADO";2;10;8;4;0;24;2;2;3;3;10;1;1;1;3
733;"Limoeiro do Norte";"Municipal";26/01/12;"CE";"Limoeiro do Norte";1;"SIM";"FINALIZADO";28;84;30;6;2;150;5;5;5;5;20;12;6;2;20
734;"Linhares";"Municipal";26/01/12;"ES";"Linhares";1;"SIM";"FINALIZADO";43;18;15;16;10;102;2;2;1;1;6;3;2;1;6
735;"Maceió";"Municipal";26/01/12;"AL";"Maceió";1;"SIM";"FINALIZADO";106;60;20;70;54;310;5;5;5;5;20;24;12;4;40
736;"Marabá ";"Municipal";26/01/12;"PA";"Marabá ";1;"SIM";"FINALIZADO";69;46;19;18;21;173;5;7;5;3;20;18;10;3;31
737;"Maracanaú";"Municipal";26/01/12;"CE";"Maracanaú";1;"SIM";"FINALIZADO";65;38;26;5;11;145;4;4;6;6;20;12;6;2;20
738;"Nilópolis";"Municipal";26/01/12;"RJ";"Nilópolis";1;"SIM";"FINALIZADO";33;11;5;18;4;71;7;5;3;5;20;6;4;2;12
739;"Pentecoste";"Municipal";26/01/12;"CE";"Pentecoste";1;"SIM";"FINALIZADO";15;25;9;3;1;53;3;3;3;3;12;6;3;1;10
740;"Piquet Carneiro";"Municipal";26/01/12;"CE";"Piquet Carneiro";1;"SIM";"FINALIZADO";37;16;17;2;3;75;5;4;5;5;19;6;3;1;10
741;"Quaraí";"Municipal";26/01/12;"RS";"Quaraí";1;"SIM";"FINALIZADO";35;76;10;3;2;126;5;5;5;5;20;1;2;1;4
742;"São Gonçalo ";"Municipal";26/01/12;"RJ";"São Gonçalo ";1;"SIM";"FINALIZADO";74;32;11;4;7;128;4;4;5;7;20;11;4;1;16
743;"Uruburetama";"Municipal";26/01/12;"CE";"Uruburetama";1;"SIM";"FINALIZADO";22;60;8;15;12;117;4;4;5;5;18;6;3;1;10
744;"Várzea Grande";"Municipal";26/01/12;"MT";"Várzea Grande";1;"SIM";"FINALIZADO";67;43;15;1;2;128;5;5;5;5;20;20;9;3;32
745;"Viana ";"Municipal";26/01/12;"ES";"Viana ";1;"SIM";"FINALIZADO";10;20;2;2;0;34;5;4;5;6;20;4;2;1;7
746;"Alto Rio Novo ";"Municipal";27/01/12;"ES";"Alto Rio Novo ";1;"SIM";"FINALIZADO";44;22;7;4;5;82;5;5;5;5;20;1;1;0;2
747;"Cassilândia";"Livre";27/01/12;"MS";"Cassilândia";0;"SIM";"FINALIZADO";0;24;0;0;0;24;10;0;0;0;10;0;0;0;0
748;"Igaci ";"Municipal";27/01/12;"AL";"Igaci ";1;"SIM";"FINALIZADO";64;30;9;83;14;200;6;6;5;3;20;6;1;1;8
749;"Jatobá ";"Municipal";27/01/12;"PE";"Jatobá ";1;"SIM";"FINALIZADO";35;14;12;6;3;70;4;4;2;4;14;6;3;1;10
750;"Maranguape";"Municipal";27/01/12;"CE";"Maranguape";1;"SIM";"FINALIZADO";101;68;43;11;12;235;5;6;6;3;20;12;6;2;20
751;"Parnaíba";"Regional";27/01/12;"PI";"Parnaíba, Batalha, Joca Marques, Piripiri, Caraúbas, São João do Arraial, Joaquim Pires, Caxingó, Bom Princípio, Buriti dos Lopes, Barras, Esperantina, Ilha Grande, Luzilândia, Luiz Correia, Morro do Chapéu, Pedro Segundo ";17;"SIM";"FINALIZADO";151;147;29;20;10;357;6;7;4;3;20;33;18;8;59
752;"Santana";"Municipal";27/01/12;"AP";"Santana";1;"SIM";"FINALIZADO";40;25;20;5;7;97;2;4;7;7;20;30;11;4;45
753;"Tanque Novo";"Municipal";27/01/12;"BA";"Tanque Novo";1;"SIM";"FINALIZADO";18;6;10;0;1;35;5;5;5;5;20;1;0;0;1
754;"Brasília";"Livre";28/01/12;"DF";"Brasília";0;"SIM";"FINALIZADO";25;3;1;0;0;29;0;1;0;0;1;0;0;0;0
755;"Brazlândia";"Municipal";28/01/12;"DF";"Brazlândia";1;"SIM";"FINALIZADO";88;16;45;0;0;149;4;9;6;1;20;7;0;1;8
756;"Cruzeiro";"Regional";28/01/12;"DF";"Cruzeiro, Estrutural/SIA ";4;"SIM";"FINALIZADO";104;19;6;0;0;129;3;8;5;4;20;9;0;2;11
757;"Itapoã";"Regional";28/01/12;"DF";"Itapoã, Lago Norte, Varjão";2;"SIM";"FINALIZADO";162;27;14;0;0;203;6;1;6;7;20;18;0;4;22
758;"Nova Lima ";"Municipal";28/01/12;"MG";"Nova Lima ";1;"SIM";"FINALIZADO";71;39;13;10;10;143;6;5;6;3;20;3;2;1;6
759;"Rio Acima";"Municipal";28/01/12;"MG";"Rio Acima";1;"SIM";"FINALIZADO";8;7;1;0;0;16;3;3;3;3;12;1;1;1;3
760;"São Mateus ";"Municipal";28/01/12;"ES";"São Mateus ";1;"SIM";"FINALIZADO";20;8;5;0;3;36;6;4;4;6;20;7;3;2;12
761;"São Sebastião";"Regional";28/01/12;"DF";"São Sebastião, Jardim Botânico, Lago Sul";3;"SIM";"FINALIZADO";63;13;32;0;0;108;4;7;4;5;20;19;0;3;22
762;"Barra de São Miguel";"Regional";30/01/12;"AL";"Barra de São Miguel, Boca da Mata, Coruripe, Jequiá da Praia, São Miguel dos Campos ";5;"SIM";"FINALIZADO";47;21;10;24;8;110;5;6;6;3;20;14;9;6;29
763;"Caseiros ";"Municipal";30/01/12;"RS";"Caseiros ";1;"SIM";"FINALIZADO";7;26;8;24;0;65;5;5;4;4;18;2;2;2;6
764;"Charqueadas";"Municipal";30/01/12;"RS";"Charqueadas";1;"SIM";"FINALIZADO";9;38;6;0;0;53;2;1;2;1;6;2;2;2;6
765;"Conceição do Coité";"Municipal";30/01/12;"BA";"Conceição do Coité";1;"SIM";"FINALIZADO";60;48;10;20;26;164;1;3;3;2;9;5;6;1;12
766;"Itararé ";"Municipal";30/01/12;"SP";"Itararé ";1;"SIM";"FINALIZADO";14;30;11;5;0;60;5;4;2;8;19;3;1;1;5
767;"Lajeado ";"Municipal";30/01/12;"RS";"Lajeado ";1;"SIM";"FINALIZADO";44;18;20;7;0;89;2;3;6;5;16;10;3;2;15
768;"Lins ";"Regional";30/01/12;"SP";"Lins ";1;"SIM";"FINALIZADO";37;124;33;0;0;194;5;5;5;3;18;6;5;2;13
769;"Parauapebas ";"Municipal";30/01/12;"PA";"Parauapebas ";1;"SIM";"FINALIZADO";134;60;23;13;30;260;5;5;5;5;20;10;4;6;20
770;"Macapá ";"Livre";31/01/12;"AP";"Macapá - SEJUV";0;"SIM";"FINALIZADO";110;14;4;0;0;128;10;0;0;0;10;0;0;0;0
771;"Martinópolis ";"Municipal";31/01/12;"SP";"Martinópolis ";1;"SIM";"FINALIZADO";9;36;11;9;4;69;3;5;5;7;20;4;2;0;6
772;"Pacoti";"Municipal";31/01/12;"CE";"Pacoti";1;"SIM";"FINALIZADO";26;19;11;3;2;61;4;3;4;3;14;9;6;2;17
